bugID,hour,week_day,month_day,month,year_day,component,title_size,platform,severity,priority,cc_count,comment_size,invalid_status,is_closed,patch_count,fixing_time,reopened_count,triaging_time,uptime,developer_count,reporter_exp,assignee_exp,region
384037,10,Mon,11,Jun,162,49,5,All,critical,--,12,163,NO,1,1,16410,0,-1,349.0,17,40,10,moderate
384527,20,Thu,14,Jun,165,23,10,All,critical,--,10,128,YES,1,1,1804,1,74.11,148.0,13,33,2,isolated
384871,3,Mon,18,Jun,169,23,14,x86,critical,--,14,115,NO,1,1,5815,1,-1,860.0,11,34,1,isolated
384937,14,Mon,18,Jun,169,23,8,x86,critical,--,12,150,NO,1,1,5067,0,-1,251.0,11,1,14,isolated
387460,13,Mon,9,Jul,190,16,8,All,critical,--,11,39,NO,1,2,28,0,0.41,446.0,13,35,10,isolated
387955,16,Thu,12,Jul,193,111,3,x86,critical,--,8,142,NO,1,3,20,1,-1,498.5,9,41,1,isolated
389194,15,Sun,22,Jul,203,475,12,x86,critical,--,5,120,NO,1,0,18190,0,-1,53.5,7,1,2,isolated
389326,17,Mon,23,Jul,204,498,9,x86,critical,--,5,54,YES,1,0,384,0,-1,72.0,8,42,36,isolated
390032,6,Sun,29,Jul,210,297,8,x86,critical,P4,13,94,YES,1,1,2434,0,-1,125.5,16,1,37,isolated
391132,14,Mon,6,Aug,218,258,12,x86,critical,--,4,57,NO,1,2,1666,0,-1,69.0,9,36,1,moderate
391974,15,Sun,12,Aug,224,23,10,All,critical,--,6,45,NO,1,4,89,0,-1,155.5,10,37,15,isolated
393770,9,Sun,26,Aug,238,539,6,All,critical,--,10,96,NO,1,5,925,0,-1,227.5,10,1,16,isolated
394014,9,Tue,28,Aug,240,23,11,All,critical,--,10,94,NO,1,4,410,0,5.49,462.0,11,38,11,moderate
394246,16,Wed,29,Aug,241,297,18,x86,critical,P3,6,151,NO,1,0,2682,2,-1,6340.5,9,43,11,isolated
